_c0,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
184,"13th Man, The",1937,70,null,5.1,5,0,0,24.5,0,24.5,24.5,24.5,24.5,0,0,,0,0,0,0,0,0,0
185,"13th Sign, The",2000,85,null,3.9,28,24.5,4.5,4.5,14.5,4.5,14.5,4.5,14.5,0,14.5,,0,0,0,0,0,0,0
186,"13th Warrior, The",1999,102,85000000,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0
187,14 Carrot Rabbit,1952,7,null,7.2,66,4.5,0,0,4.5,4.5,14.5,34.5,24.5,4.5,14.5,,0,1,1,0,0,0,1
188,14 Million Dreams,2003,52,null,8.3,7,14.5,0,0,0,0,0,0,0,44.5,44.5,,0,0,0,1,1,0,0
189,14 numara,1985,83,null,3.6,12,24.5,4.5,24.5,4.5,0,4.5,4.5,4.5,0,4.5,,0,0,0,1,0,0,0
190,"14, The",1973,105,null,6.7,7,0,0,0,0,0,14.5,24.5,14.5,0,44.5,,0,0,0,0,0,0,0
191,14/1 endlos,1998,27,null,7,5,0,0,0,44.5,0,0,0,0,64.5,0,,0,0,0,0,0,0,1
192,1492: Conquest of Paradise,1992,154,47000000,6,3379,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
193,"14e kippetje, Het",1998,88,null,5.5,118,4.5,4.5,4.5,14.5,14.5,14.5,34.5,4.5,4.5,4.5,,0,0,1,1,0,1,0
194,15,2003,90,null,6.4,97,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,1,1,0,0,0
195,15 Amore,1998,92,null,6.5,88,0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
196,15 Minutes,1999,25,null,4.8,19,14.5,0,0,4.5,24.5,24.5,14.5,24.5,4.5,0,,0,0,1,0,0,0,1
197,15 Minutes,2001,120,42000000,6.1,10866,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
198,15' zondergrond,2000,20,null,6.4,7,0,0,24.5,0,0,14.5,14.5,14.5,24.5,0,,0,0,0,0,0,0,1
199,15-Sai: Gakko IV,2000,120,null,5.5,13,24.5,0,0,4.5,4.5,0,4.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
200,15.35: spoor 1,2003,74,null,5.6,27,4.5,4.5,0,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
201,16 Days of Glory,1985,145,null,7.7,37,0,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,1,0,0
202,16 December,2002,158,null,7.3,26,4.5,0,4.5,0,4.5,14.5,24.5,14.5,14.5,14.5,,1,0,0,0,0,0,1
203,16 Fathoms Deep,1948,82,null,7.6,6,0,0,0,0,0,34.5,14.5,34.5,14.5,0,,0,0,0,0,0,0,0
204,16/67: 20. September,1967,6,null,5.5,6,0,0,14.5,14.5,0,14.5,0,0,14.5,34.5,,0,0,0,0,0,0,1
205,16060,1995,86,null,6.7,30,4.5,4.5,4.5,0,14.5,14.5,4.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
206,17 Seconds to Sophie,1998,1,null,5.1,7,0,0,0,14.5,24.5,14.5,0,0,0,44.5,,0,0,0,0,1,0,1
207,17 and Under,1998,107,null,4.1,13,4.5,0,0,14.5,14.5,14.5,0,0,4.5,34.5,,0,0,0,1,0,0,0
208,17 op,1989,75,null,4.4,9,14.5,34.5,0,0,34.5,14.5,14.5,0,0,0,,0,0,0,0,0,0,0
209,17 rue Bleue,2001,95,null,5.7,22,0,0,14.5,4.5,14.5,24.5,14.5,4.5,0,4.5,,0,0,0,1,0,0,0
210,1776,1972,180,4000000,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,PG,0,0,0,1,0,0,0
211,1789,1974,150,null,5.2,18,0,0,4.5,14.5,24.5,0,4.5,14.5,0,44.5,,0,0,0,0,0,0,0
212,"17th Man, The",2004,23,null,7.6,18,4.5,14.5,0,0,0,0,4.5,14.5,24.5,34.5,,0,0,0,0,0,0,1
213,18 Again!,1988,93,null,4.8,643,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
214,18 Shades of Dust,1999,87,null,4.5,43,14.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0
215,18 Weapons of Kung Fu,1977,89,null,2,21,24.5,4.5,14.5,4.5,0,4.5,4.5,0,0,34.5,,1,0,0,1,0,0,0
216,18 anni tra una settimana,1991,98,null,5.9,7,14.5,0,0,0,14.5,44.5,14.5,14.5,0,0,,0,0,0,1,0,0,0
217,18-j,2004,100,null,8.5,26,4.5,4.5,0,4.5,0,4.5,0,14.5,14.5,45.5,,0,0,0,1,1,0,0
218,1860,1934,80,null,7,16,0,0,14.5,4.5,14.5,34.5,4.5,14.5,0,14.5,,0,0,0,1,0,0,0
219,1871,1990,100,null,4.2,11,4.5,14.5,4.5,4.5,0,0,14.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
220,187: Documented,1997,58,null,3,14,44.5,0,0,14.5,0,4.5,14.5,0,4.5,14.5,,0,0,0,1,1,0,0
221,1895,1995,30,null,7.8,21,4.5,4.5,0,0,4.5,0,4.5,4.5,0,64.5,,0,1,0,0,0,0,1
222,19,2000,82,null,7,59,4.5,4.5,0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
223,19 Months,2002,77,null,5.3,51,14.5,4.5,4.5,4.5,4.5,24.5,4.5,4.5,14.5,14.5,R,0,0,1,0,0,0,0
224,19 djevojaka i Mornar,1971,73,null,5.4,5,24.5,0,24.5,0,0,0,24.5,44.5,0,0,,0,0,0,0,0,0,0
225,1900,1976,245,9000000,7.5,2408,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
226,1918,1985,94,null,5.8,65,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
227,1919,1985,99,null,5,28,14.5,0,14.5,14.5,0,4.5,24.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
228,1919,1997,8,null,6.2,13,34.5,4.5,0,4.5,14.5,0,4.5,0,14.5,14.5,,0,0,0,0,0,0,1
229,1925 Studio Tour,1925,32,null,8.2,26,0,0,0,0,4.5,4.5,14.5,14.5,14.5,44.5,,0,0,0,0,1,0,1
230,1939,1989,193,null,5.7,62,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
231,1941,1941,7,null,7.9,5,0,0,0,0,24.5,0,24.5,0,0,64.5,,0,0,0,0,0,0,1
232,1941,1979,146,35000000,5.6,5536,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
233,1942: A Love Story,1993,157,null,6.5,210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,1,0,0,1,0,1,0
234,1952: Ivan i Aleksandra,1989,80,null,7.3,16,4.5,4.5,0,0,4.5,4.5,34.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
235,1955 Motion Picture Theatre Celebration,1955,18,null,4.6,12,14.5,0,0,4.5,14.5,14.5,0,0,0,44.5,,0,0,0,0,1,0,1
236,1958,1980,96,null,5.9,23,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
237,1969,1988,95,null,5.3,659,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
238,1974,2000,8,null,4.4,12,0,14.5,24.5,4.5,24.5,0,4.5,0,4.5,4.5,,0,1,0,0,0,0,1
239,"1974, une partie de campagne",1974,90,null,7.6,22,0,0,0,0,4.5,14.5,34.5,34.5,4.5,4.5,,0,0,0,0,1,0,0
240,1984,1956,90,null,6.9,304,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
241,1990: I guerrieri del Bronx,1982,89,null,3.9,181,14.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
242,1991: The Year Punk Broke,1992,99,null,6.9,166,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,44.5,,0,0,0,0,1,0,0
243,1997 - Zapisi Rustema s risunkami,1998,80,null,7.9,11,0,0,0,4.5,0,0,14.5,74.5,0,0,,0,0,0,0,0,0,0
244,1999,1998,92,null,5.3,93,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0
245,1999 - Nen no natsu yasumi,1988,90,null,6.5,66,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,44.5,,0,0,0,1,0,0,0
246,1999 Madeleine,1999,86,null,5.6,52,4.5,0,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
247,2 A.M. in the Subway,1905,1,null,5.2,13,0,0,14.5,14.5,24.5,34.5,4.5,0,4.5,0,,0,0,1,0,0,0,1
248,2 Birds with 1 Stallone,2002,76,null,1.5,30,24.5,4.5,0,0,4.5,0,0,14.5,0,64.5,,0,0,0,1,0,0,0
249,2 Days in the Valley,1996,104,null,6.4,5057,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
250,2 Dyuo,1997,90,null,6.5,9,14.5,14.5,0,0,14.5,24.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
251,2 Fast 2 Furious,2003,107,76000000,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
252,2 G's & a Key,2000,97,null,4.4,44,24.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
253,"2 Little, 2 Late",1999,87,null,6.5,18,14.5,0,0,4.5,0,0,0,4.5,14.5,64.5,,0,0,1,1,0,0,0
254,2 bileta na dnevnoy seans,1966,90,null,8.2,5,0,0,0,0,0,0,44.5,24.5,24.5,24.5,,0,0,0,0,0,0,0
255,"2 deputati, I",1968,95,null,6.9,9,14.5,0,0,0,0,24.5,34.5,24.5,14.5,0,,0,0,1,0,0,0,0
256,2 minutter,2001,8,null,6.9,9,0,0,0,0,14.5,24.5,14.5,14.5,0,44.5,,0,0,0,0,0,0,1
257,2 or 3 Things But Nothing for Sure,1997,12,null,7.2,5,0,0,24.5,0,0,24.5,0,24.5,24.5,24.5,,0,0,0,0,1,0,1
258,2 ou 3 choses que je sais d'elle,1967,90,null,6.7,355,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
259,2 ryk og 1 aflevering,2003,96,null,5.5,86,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
260,2 secondes,1998,100,null,6.8,166,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,1,0
261,2+1,2004,28,null,8.2,16,14.5,4.5,0,0,0,0,0,4.5,0,74.5,,0,0,1,0,0,0,1
262,2+5: Missione Hydra,1965,89,null,3.3,29,24.5,14.5,4.5,24.5,4.5,14.5,4.5,0,4.5,14.5,,0,0,0,0,0,0,0
263,"2,000 Women",1944,97,null,5.9,50,0,4.5,0,0,4.5,14.5,14.5,4.5,34.5,24.5,,0,0,0,0,0,0,0
264,2. juledag,2000,25,null,5.5,8,0,0,14.5,0,24.5,34.5,14.5,14.5,0,0,,0,0,0,0,0,0,1
265,20 Dates,1998,87,60000,5.4,841,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,0,1,1,0
266,20 Fingers,2004,74,null,6.7,52,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,64.5,,0,0,0,1,0,0,0
267,20 Million Miles to Earth,1957,82,null,6.2,523,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
268,20 Mule Team,1940,84,null,7.1,25,0,0,0,4.5,14.5,14.5,34.5,14.5,14.5,4.5,,0,0,0,0,0,0,0
269,"20,000 Cheers for the Chain Gang",1933,20,null,6.5,16,0,4.5,4.5,0,4.5,4.5,34.5,24.5,4.5,4.5,,0,0,1,0,0,0,1
270,"20,000 Leagues Under the Sea",1916,105,200000,6.2,135,4.5,4.5,4.5,4.5,24.5,14.5,24.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
271,"20,000 Years in Sing Sing",1932,78,null,7,274,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
272,20-seiki nosutarujia,1997,93,null,3.7,14,24.5,0,0,0,14.5,14.5,24.5,0,0,24.5,,0,0,0,0,0,0,0
273,"20. Juli, Der",1955,97,null,8.6,18,4.5,0,0,0,4.5,0,14.5,34.5,4.5,34.5,,0,0,0,0,0,0,0
274,20/20 Vision,1999,20,null,1,5,64.5,0,0,0,24.5,24.5,0,0,0,0,,0,0,1,0,0,0,1
275,200 American,2003,84,null,5.4,62,14.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,1,0
276,200 Cigarettes,1999,101,6000000,5.4,4514,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0
277,200 Motels,1971,98,679000,5.2,338,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,0,0,0,0
278,2000 Nordestes,2000,70,null,7.9,25,4.5,0,0,0,4.5,0,14.5,14.5,24.5,34.5,,0,0,0,0,1,0,0
279,2000 Years Later,1969,80,null,4.4,12,4.5,14.5,0,0,24.5,14.5,14.5,0,0,14.5,,0,0,1,0,0,0,0
280,20000 Leagues Under the Sea,1954,127,5000000,7.1,2741,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
281,2001 Yonggary,1999,99,null,3.1,241,44.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0
282,2001: A Space Odyssey,1968,156,10500000,8.3,64982,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
283,2001: A Space Travesty,2000,99,26000000,2.5,2023,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
284,2002: The Rape of Eden,1994,90,null,4,24,14.5,4.5,14.5,4.5,24.5,14.5,0,4.5,0,14.5,,1,0,1,1,0,0,0
285,2009: Lost Memories,2002,136,null,6.6,639,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,R,1,0,0,1,0,0,0
286,"201 Kanarinia, Ta",1964,96,null,7.1,6,0,0,0,0,0,34.5,0,45.5,0,14.5,,0,0,0,0,0,0,0
287,2010,1984,116,null,6.5,7300,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
288,2010: The Odyssey Continues,1984,18,null,5.8,154,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,,0,0,0,0,1,0,1
289,2019 - Dopo la caduta di New York,1983,91,null,5.3,176,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
290,203 kochi,1980,185,null,6.8,24,4.5,0,4.5,4.5,4.5,14.5,4.5,4.5,24.5,34.5,,0,0,0,1,0,0,0
291,2046,2004,129,12000000,7.6,2663,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,1,0
292,2069 A.D.,1969,75,null,5.3,8,0,0,0,0,34.5,34.5,0,24.5,0,0,,0,0,0,0,0,0,0
293,2084,1984,10,null,6.4,10,14.5,0,0,0,14.5,14.5,34.5,34.5,0,14.5,,0,0,0,0,1,0,1
294,20:30:40,2004,113,null,7.1,177,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,,0,0,1,1,0,1,0
295,20h17 rue Darling,2003,101,null,6.3,75,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
296,21,2000,105,null,6,25,4.5,0,4.5,4.5,0,4.5,14.5,4.5,14.5,44.5,,0,0,1,1,0,1,0
297,21 Grams,2003,124,20000000,8,21857,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,0,1,0,0,0
298,21-87,1964,10,null,6.1,13,0,4.5,0,0,4.5,14.5,44.5,4.5,4.5,4.5,,0,0,0,0,0,0,1
299,2103: The Deadly Wake,1997,100,null,3.8,78,34.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
300,21st Century Jet: The Building of the 777,1996,285,null,7.6,7,0,0,0,0,0,0,14.5,14.5,44.5,24.5,,0,0,0,0,1,0,0
301,22 June 1897,1979,121,null,6,11,4.5,0,0,0,4.5,4.5,4.5,4.5,24.5,24.5,,0,0,0,1,0,0,0
302,23,1998,100,null,7.2,1246,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
303,23 -- Skidoo,1930,10,null,4.8,15,0,0,4.5,34.5,24.5,4.5,4.5,14.5,0,14.5,,0,0,1,0,0,0,1
304,23 Paces to Baker Street,1956,103,null,7,179,0,0,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
305,237,2000,12,null,4.3,7,0,0,24.5,0,0,14.5,14.5,24.5,0,14.5,,0,0,0,0,0,0,1
306,23:58,1993,84,null,7,8,0,0,0,0,14.5,0,64.5,14.5,14.5,0,,0,0,0,0,0,0,0
307,23rd March 1931: Shaheed,2002,188,null,6.3,25,4.5,0,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
308,24,2002,91,null,7.4,75,4.5,0,4.5,4.5,4.5,4.5,14.5,4.5,14.5,44.5,,0,0,0,1,0,0,0
309,24 7: Twenty Four Seven,1997,96,null,6.7,504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,1,0,0,0
310,24 Hour Party People,2002,117,null,7.2,3603,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,1,0,0,0
311,"24 Hour Woman, The",1999,93,2500000,5.6,149,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0
312,24 Hours,1931,66,null,7,11,0,0,0,14.5,0,4.5,14.5,24.5,24.5,0,,0,0,0,0,0,0,0
313,24 Hours in London,2000,90,null,3.8,242,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
314,24 Nights,1999,97,null,6.3,81,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
315,24 chasa,2000,86,null,6,39,14.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
316,24 heures de la vie d'une femme,2002,107,null,5.6,74,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
317,24 heures ou plus...,1977,114,null,7.6,9,0,0,0,0,0,0,14.5,34.5,45.5,0,,0,0,0,0,0,0,0
318,24 horas de placer,1969,95,null,8.1,7,0,0,0,0,0,24.5,0,24.5,14.5,24.5,,0,0,1,0,0,0,0
319,24-Seven,1999,8,null,5.9,22,0,4.5,4.5,0,14.5,4.5,24.5,14.5,4.5,24.5,,0,0,1,0,0,0,1
320,24/24,2001,11,null,4.8,9,24.5,0,0,0,14.5,14.5,14.5,14.5,0,34.5,,0,0,0,0,0,0,1
321,24fps,2000,6,null,4.8,16,4.5,4.5,24.5,4.5,34.5,14.5,0,0,0,4.5,,0,0,0,0,0,0,1
322,"24th Day, The",2004,92,null,6.4,502,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,R,0,0,0,0,0,0,0
323,25 Kids and a Dad,2002,90,null,6.2,8,0,0,0,0,14.5,34.5,24.5,0,0,24.5,,0,0,0,0,0,0,0
324,25 Watts,2001,92,200000,7,275,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,24.5,,0,0,1,1,0,0,0
325,25 Ways to Quit Smoking,1989,5,null,7.2,114,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,,0,1,1,0,0,0,1
326,25th Hour,2002,135,15000000,7.8,15788,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,R,0,0,0,1,0,0,0
327,26 Summer Street,1996,17,null,4.7,20,14.5,0,0,0,24.5,0,0,4.5,0,64.5,,0,0,0,0,0,0,1
328,27 Down,1974,118,null,8.9,7,0,0,0,0,0,0,14.5,24.5,14.5,44.5,,0,0,0,0,0,0,0
329,27 Missing Kisses,2000,98,null,6.6,291,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,1,0,1,0
330,27 horas,1986,81,null,5.2,38,4.5,0,0,4.5,24.5,24.5,24.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
331,27A,1974,86,null,5,8,0,0,0,14.5,24.5,0,24.5,24.5,0,14.5,,0,0,0,1,0,0,0
332,"27th Day, The",1957,75,null,5.9,84,0,0,4.5,4.5,14.5,24.5,14.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
333,28 Days,2000,103,43000000,6,7465,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
334,28 Days Later...,2002,113,8000000,7.3,24174,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,0,0,0,0
335,28 minuti per 3 milioni di dollari,1967,90,null,3.9,6,0,14.5,0,0,14.5,14.5,14.5,0,0,34.5,,0,0,0,0,0,0,0
336,"28 oktovriou, ora 5:30",1971,90,null,6.2,5,0,0,0,0,44.5,24.5,24.5,24.5,0,0,,0,0,0,1,0,0,0
337,29 Palms,2002,93,null,4.7,406,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,0,0
338,29th Street,1991,101,null,6.9,436,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,0,0
339,2BPerfectlyHonest,2004,88,null,7.3,17,0,0,4.5,14.5,14.5,14.5,4.5,14.5,14.5,24.5,R,0,0,1,1,0,0,0
340,2LDK,2002,70,null,7.3,381,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
341,2by4,1998,90,null,6.4,44,0,4.5,4.5,4.5,4.5,34.5,14.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
342,"2wks, 1yr",2002,104,null,9.4,5,0,0,0,0,0,0,0,24.5,24.5,64.5,,0,0,0,0,0,0,0
343,3,1971,86,null,6,14,44.5,24.5,0,0,0,0,4.5,24.5,0,0,,0,0,0,1,0,0,0
344,3 A.M.,1976,72,null,6.9,15,0,0,4.5,4.5,0,24.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
345,3 A.M.,2001,88,null,5.9,243,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
346,3 AM,2003,22,32000,4.8,11,4.5,0,0,4.5,14.5,4.5,14.5,4.5,14.5,4.5,,0,0,0,0,0,0,1
347,3 Bad Men,1926,122,null,5.6,64,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
348,3 Chinesen mit dem Kontrabass,2000,88,null,6.5,120,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,4.5,,0,0,1,0,0,0,0
349,3 Days of Rain,2002,98,null,5.8,20,4.5,0,0,0,24.5,0,4.5,14.5,24.5,34.5,,0,0,0,1,0,0,0
350,3 Dumb Clucks,1937,17,null,7.1,80,4.5,4.5,0,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,1,0,0,0,1
351,3 Feet Under: Digging Deep for the Geoduck,2003,63,null,7,15,0,0,0,0,0,0,24.5,24.5,14.5,44.5,,0,0,0,0,1,0,0
352,3 Godfathers,1948,106,null,6.9,779,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
353,3 Little Ninjas and the Lost Treasure,1990,100,null,2.2,51,45.5,14.5,4.5,4.5,4.5,0,4.5,4.5,0,4.5,,0,0,0,0,0,0,0
354,3 Men and a Little Lady,1990,104,null,4.5,3066,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
355,3 Minute Wonder,2000,3,null,4.3,6,0,0,14.5,34.5,0,45.5,0,0,0,0,,0,0,0,0,0,0,1
356,3 Misses,1998,11,null,7.2,23,4.5,0,0,4.5,0,4.5,24.5,34.5,4.5,14.5,,0,1,1,0,0,0,1
357,3 Ninjas,1992,98,null,4,1392,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,,1,0,1,0,0,0,0
358,3 Ninjas Kick Back,1994,93,null,3.5,565,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,,1,0,1,0,0,0,0
359,3 Ninjas Knuckle Up,1995,85,null,2.9,324,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG-13,1,0,1,0,0,0,0
360,3 Ninjas: High Noon at Mega Mountain,1998,93,null,2.2,744,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG,1,0,1,0,0,0,0
361,3 Nuts in Search of a Bolt,1964,78,null,5.2,16,0,4.5,4.5,24.5,14.5,14.5,14.5,4.5,0,14.5,,0,0,1,0,0,0,0
362,3 Ring Circus,1954,103,null,5.6,99,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
363,3 Ring Wing-Ding,1968,6,null,6.3,9,14.5,0,24.5,0,0,14.5,24.5,0,14.5,24.5,,0,1,1,0,0,0,1
364,3 Strikes,2000,82,6000000,3.7,305,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
365,3 Tage 44,2000,21,null,5,6,0,0,0,0,34.5,0,14.5,14.5,0,34.5,,0,0,0,0,0,0,1
366,3 Weeks After Paradise,2002,51,null,7,5,0,24.5,0,0,0,0,24.5,44.5,24.5,0,,0,0,0,0,0,0,0
367,3 Women,1977,124,1500000,7.7,912,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
368,"3 Worlds of Gulliver, The",1960,100,null,6,215,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,1,0,0,0,0,0
369,3 dev adam,1973,81,null,5.2,36,24.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,24.5,,1,0,0,0,0,0,0
